MARGARINE,MARGARINE-LIKE VEG OIL SPRD,67-70% FAT,TUB;606;0.07;68.29;0.59
MARGARINE,80% FAT,TUB,CANOLA HARVEST SOFT SPRD;730;0.41;80.32;1.39
OIL,COOKING & SALAD,ENOVA,80% DIGLYCERIDES;884;0;100;0
SALAD DRSNG,HONEY MUSTARD DRSNG,RED CAL;207;0.98;10;29.27
MARGARINE-LIKE SPRD,BENECOL LT SPRD;357;0;38.71;5.71
SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS;165;0.16;10.75;16.6
SALAD DRSNG,MAYO,LT,SMART BALANCE,OMEGA PLUS LT;333;1.53;34.18;9.39
VEG OIL SPRD,37% FAT,UNSPEC OILS,W/ SALT,W/ ADDED VITAMIN D;339;0.51;37.77;0.66
MARGARINE,REG,80% FAT,COMP,STK,W/ SALT,W/ ADDED VITAMIN D;717;0.16;80.71;0.7
MARGARINE,REG,80% FAT,COMP,TUB,W/ SALT,W/ ADDED VITAMIN D;713;0.22;80.17;0.75
VEG OIL SPRD,60% FAT,STK,W/ SALT,W/ ADDED VITAMIN D;537;0.12;60.39;0.69
VEG OIL SPRD,60% FAT,TUB,W/ SALT,W/ ADDED VITAMIN D;533;0.17;59.81;0.86
VEG-OIL SPRD,STICK/TUB/BOTTLE,60% FAT,W/ ADDED VITAMIN D;535;0.6;59.17;0
MARGARINE,REG,80% FAT,COMP,STK,WO/ SALT,W/ ADDED VITAMIN D;717;0.16;80.71;0.7
VEG OIL SPRD,60% FAT,STICK/TUB/BOTTLE,WO/ SALT,W/VIT D;542;0.17;59.81;0.86
OIL,INDUSTRIAL,CANOLA,HI OLEIC;900;0;100;0
OIL,INDUSTRIAL,SOY,LO LINOLENIC;900;0;100;0
OIL,INDUSTRIAL,SOY,ULTRA LO LINOLENIC;884;0;100;0
OIL,INDUSTRIAL,SOY,FULLY HYDR;884;0;100;0
OIL,INDUSTRIAL,CTTNSD,FULLY HYDR;884;0;100;0
SALAD DRSNG,HONEY MUSTARD,REG;464;0.87;40.83;23.33
SALAD DRSNG,POPPYSEED,CREAMY;399;0.92;33.33;24.53
SALAD DRSNG,CAESAR,FAT-FREE;131;1.47;0.23;30.73
DRESSING,HONEY MUSTARD,FAT-FREE;169;1.07;1.47;38.43
OIL,FLAXSEED,CONTAINS ADDED SLICED FLAXSEED;878;0.37;99.01;0.39
CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RAW;213;18.33;14.83;0.13
CHICKEN,BROILER OR FRYER,MEAT&SKN&GIBLETS&NECK,FRIED,BATTER;291;22.84;17.53;9.03
CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,FRIED,FLR;272;28.57;15.27;3.27
CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,RSTD;234;26.78;13.27;0.06
CHICKEN,BROILERS OR FRYERS,MEAT&SKN&GIBLETS&NECK,STWD;216;24.49;12.37;0.06
CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW;215;18.6;15.06;0
CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,BATTER;289;22.54;17.35;9.42
CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,FRIED,FLR;269;28.56;14.92;3.15
CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,RSTD;239;27.3;13.6;0
CHICKEN,BROILERS OR FRYERS,MEAT&SKN,CKD,STWD;219;24.68;12.56;0
CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW;119;21.39;3.08;0
CHICKEN,BROILERS OR FRYERS,MEAT ONLY,CKD,FRIED;219;30.57;9.12;1.69
CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RSTD;190;28.93;7.41;0
CHICKEN,BROILERS OR FRYERS,MEAT ONLY,STWD;177;27.29;6.71;0
CHICKEN,BROILERS OR FRYERS,SKN ONLY,RAW;349;13.33;32.35;0
CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,BATTER;394;10.32;28.83;23.15
CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,FRIED,FLR;502;19.09;42.58;9.34
CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,RSTD;454;20.36;40.68;0
CHICKEN,BROILERS OR FRYERS,SKN ONLY,CKD,STWD;363;15.22;33.04;0
CHICKEN,BROILERS OR FRYERS,GIBLETS,RAW;124;17.88;4.47;1.8
CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,FRIED;277;32.54;13.46;4.35
CHICKEN,BROILERS OR FRYERS,GIBLETS,CKD,SIMMRD;157;27.15;4.5;0
CHICKEN,GIZZARD,ALL CLASSES,RAW;94;17.66;2.06;0
CHICKEN,GIZZARD,ALL CLASSES,CKD,SIMMRD;154;30.39;2.68;0
CHICKEN,HEART,ALL CLASSES,RAW;153;15.55;9.33;0.71
CHICKEN,HEART,ALL CLASSES,CKD,SIMMRD;185;26.41;7.92;0.1
CHICKEN,LIVER,ALL CLASSES,RAW;119;16.92;4.83;0.73
